QuickDAQ Data
01-01-0001 00:00:00
Notes:,,
Sample Rate:,6000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Samples,Samples,Samples,
Y Axis Units,g,g,Hz,
milliSeconds,Real,Real,Real,
24.6666666667, 0.0595480417,-0.5292887590, 0.00000E+000,
24.8333333333, 0.0911334098,-0.3358764330, 0.00000E+000,
25.0000000000, 0.0944164767,-0.1874464924, 0.00000E+000,
25.1666666667, 0.0920390834,-0.0071590003, 0.00000E+000,
25.3333333333, 0.0414345689, 0.0750501870, 0.00000E+000,
25.5000000000, 0.0701897069,-0.0266076180, 0.00000E+000,
25.6666666667, 0.0671330584,-0.0577492695, 0.00000E+000,
25.8333333333, 0.0446044267, 0.0918738378, 0.00000E+000,
26.0000000000, 0.0335099246, 0.0085908004, 0.00000E+000,
26.1666666667, 0.0424534518, 0.0164657008, 0.00000E+000,
26.3333333333, 0.0588687865,-0.0224315344, 0.00000E+000,
26.5000000000, 0.0358873179,-0.0236247011, 0.00000E+000,
26.6666666667, 0.0314721589, 0.0650275865, 0.00000E+000,
26.8333333333, 0.0371326191, 0.0147952674, 0.00000E+000,
27.0000000000, 0.0506045145, 0.0289939514, 0.00000E+000,
27.1666666667, 0.0255852803, 0.0011931667, 0.00000E+000,
27.3333333333, 0.0195851924,-0.0548856693, 0.00000E+000,
27.5000000000, 0.0220757949, 0.0853114208, 0.00000E+000,
27.6666666667, 0.0301136485, 0.0181361342, 0.00000E+000,
27.8333333333, 0.0322646233, 0.0347211517, 0.00000E+000,
28.0000000000, 0.0123398033,-0.0175395509, 0.00000E+000,
28.1666666667, 0.0343023890,-0.0622833030, 0.00000E+000,
28.3333333333, 0.0391703848, 0.1026123383, 0.00000E+000,
28.5000000000, 0.0242267698,-0.0025056501, 0.00000E+000,
28.6666666667, 0.0260381171, 0.0106191838, 0.00000E+000,
28.8333333333, 0.0316985773,-0.0212383677, 0.00000E+000,
