QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,6000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,avearge,max
8.833333333,0.043472335,-0.06383442,0.00E+00,-0.010181043,
9,0.134152908,0.038300652,0.00E+00,0.08622678,
9.166666667,0.053887581,-0.039732452,0.00E+00,0.007077565,
9.333333333,0.083435184,-0.019329301,0.00E+00,0.032052942,
9.5,-0.015962498,-0.087459121,0.00E+00,-0.051710809,
9.666666667,-0.515894346,-0.621281914,0.00E+00,-0.56858813,
9.833333333,-0.234343054,-0.361648834,0.00E+00,-0.297995944,
10,0.09249192,-0.005488567,0.00E+00,0.043501677,
10.16666667,0.17366292,0.094260171,0.00E+00,0.133961546,
10.33333333,0.042113824,-0.044624436,0.00E+00,-0.001255306,
10.5,0.060680134,-0.051186853,0.00E+00,0.004746641,
10.66666667,0.166643949,0.082447821,0.00E+00,0.124545885,
10.83333333,0.094869314,-0.012647567,0.00E+00,0.041110873,
11,0.126228263,0.031976868,0.00E+00,0.079102566,
11.16666667,0.040415686,-0.050470953,0.00E+00,-0.005027633,
11.33333333,0.084567276,-0.031976868,0.00E+00,0.026295204,
11.5,0.163360882,0.071947954,0.00E+00,0.117654418,
11.66666667,0.077321887,-0.018732718,0.00E+00,0.029294585,
11.83333333,0.130643422,0.049993686,0.00E+00,0.090318554,
12,0.02852872,-0.058942436,0.00E+00,-0.015206858,
12.16666667,0.070189707,-0.033170035,0.00E+00,0.018509836,
12.33333333,0.157813631,0.060732186,0.00E+00,0.109272909,
12.5,0.087397506,-0.014795267,0.00E+00,0.036301119,
12.66666667,0.135511418,0.040090402,0.00E+00,0.08780091,
12.83333333,0.027396628,-0.057987903,0.00E+00,-0.015295638,
13,0.06826515,-0.025295135,0.00E+00,0.021485008,
13.16666667,0.175247849,0.085072788,0.00E+00,0.130160318,
13.33333333,0.09249192,0.014914584,0.00E+00,0.053703252,
13.5,0.119662129,0.033885935,0.00E+00,0.076774032,
13.66666667,0.027962674,-0.061090136,0.00E+00,-0.016563731,
13.83333333,0.072001054,-0.026249668,0.00E+00,0.022875693,
14,0.149888987,0.061448086,0.00E+00,0.105668537,
14.16666667,0.07686905,-0.007159,0.00E+00,0.034855025,
14.33333333,0.105624188,0.010857817,0.00E+00,0.058241003,
14.5,0.020604075,-0.073976337,0.00E+00,-0.026686131,
14.66666667,0.055132883,-0.047845986,0.00E+00,0.003643449,
14.83333333,0.169247761,0.083163721,0.00E+00,0.126205741,
15,0.095208941,0.012647567,0.00E+00,0.053928254,
15.16666667,0.100190146,0.003102234,0.00E+00,0.05164619,
15.33333333,-0.003169858,-0.06669802,0.00E+00,-0.034933939,
15.5,0.071887845,-0.034601835,0.00E+00,0.018643005,
15.66666667,0.171059108,0.085788688,0.00E+00,0.128423898,
15.83333333,0.076076586,-0.007636267,0.00E+00,0.034220159,
16,0.098605217,0.023982651,0.00E+00,0.061293934,
16.16666667,0.011207711,-0.070396837,0.00E+00,-0.029594563,
16.33333333,0.084340858,-0.010022601,0.00E+00,0.037159129,
16.5,0.15656833,0.081373971,0.00E+00,0.11897115,
16.66666667,0.070189707,-0.023982651,0.00E+00,0.023103528,
16.83333333,0.101322238,0.008471484,0.00E+00,0.054896861,
17,0.040415686,-0.05739132,0.00E+00,-0.008487817,
17.16666667,0.044944054,-0.053931136,0.00E+00,-0.004493541,
17.33333333,0.148643686,0.059061753,0.00E+00,0.103852719,
17.5,0.057283858,-0.028874635,0.00E+00,0.014204611,
17.66666667,0.091812665,-0.006323784,0.00E+00,0.042744441,
17.83333333,0.011660548,-0.078510371,0.00E+00,-0.033424911,
18,0.057170648,-0.028397368,0.00E+00,0.01438664,
18.16666667,0.136983138,0.059777653,0.00E+00,0.098380395,
18.33333333,0.064416038,-0.029351901,0.00E+00,0.017532068,
