QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,1000.11596, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
52.99385507,0.09113341,0.056675419,0.00E+00,0.073904415,
53.99373913,0.094869314,0.054408403,0.00E+00,0.074638858,
54.99362319,0.103246795,0.059658336,0.00E+00,0.081452565,
55.99350725,0.085699368,0.052737969,0.00E+00,0.069218669,
56.9933913,0.080378535,0.031738235,0.00E+00,0.056058385,
57.99327536,0.094756104,0.061806036,0.00E+00,0.07828107,
58.99315942,0.060566925,0.017778184,0.00E+00,0.039172554,
59.99304348,0.081284209,0.059419703,0.00E+00,0.070351956,
60.99292754,-0.015509661,-0.06419237,0.00E+00,-0.039851015,
61.99281159,-0.030226858,-0.072305904,0.00E+00,-0.051266381,
62.99269565,0.101209029,0.073379754,0.00E+00,0.087294391,
63.99257971,0.028189092,-0.00465335,0.00E+00,0.011767871,
64.99246377,0.079246443,0.048800519,0.00E+00,0.064023481,
65.99234783,0.042000615,-0.004534034,0.00E+00,0.018733291,
66.99223188,0.048793167,0.020045201,0.00E+00,0.034419184,
67.99211594,0.060227297,0.027323518,0.00E+00,0.043775407,
68.992,0.11819041,0.081970554,0.00E+00,0.100080482,
69.99188406,0.093171176,0.068368453,0.00E+00,0.080769814,
70.99176812,0.11524697,0.079584221,0.00E+00,0.097415595,
71.99165217,0.136983138,0.079345587,0.00E+00,0.108164362,
72.99153623,0.073925611,0.054766353,0.00E+00,0.064345982,
73.99142029,0.106077025,0.06240262,0.00E+00,0.084239822,
74.99130435,0.094416477,0.05739132,0.00E+00,0.075903898,
75.99118841,0.061359389,0.040925619,0.00E+00,0.051142504,
76.99107246,-0.065095293,-0.101896438,0.00E+00,-0.083495866,
77.99095652,0.084906904,0.044743752,0.00E+00,0.064825328,
78.99084058,0.06826515,0.048442569,0.00E+00,0.05835386,
79.99072464,0.05694423,0.020164518,0.00E+00,0.038554374,
80.9906087,0.06973687,0.041283569,0.00E+00,0.055510219,
81.99049275,0.055359301,0.018732718,0.00E+00,0.037046009,
82.99037681,0.062717899,0.027442835,0.00E+00,0.045080367,
83.99026087,0.106982699,0.048561886,0.00E+00,0.077772292,
84.99014493,0.092378711,0.054885669,0.00E+00,0.07363219,
85.99002899,0.045849728,0.014437317,0.00E+00,0.030143523,
86.98991304,0.081057791,0.036510902,0.00E+00,0.058784346,
87.9897971,0.056378184,0.027681468,0.00E+00,0.042029826,
88.98968116,0.087510715,0.035914318,0.00E+00,0.061712517,
89.98956522,0.081850255,0.048800519,0.00E+00,0.065325387,
90.98944928,0.1266811,0.089845454,0.00E+00,0.108263277,
91.98933333,0.046302565,0.010619184,0.00E+00,0.028460874,
92.98921739,-0.084680485,-0.130413123,0.00E+00,-0.107546804,
93.98910145,0.119888548,0.087101171,0.00E+00,0.103494859,
94.98898551,0.037472247,0.009664651,0.00E+00,0.023568449,
95.98886957,0.079133234,0.045340336,0.00E+00,0.062236785,
96.98875362,0.077321887,0.051425486,0.00E+00,0.064373686,
97.98863768,0.084227648,0.042834685,0.00E+00,0.063531167,
98.98852174,0.092831548,0.049755052,0.00E+00,0.0712933,
99.9884058,0.076529422,0.030067802,0.00E+00,0.053298612,
100.9882899,0.059321623,0.031618918,0.00E+00,0.045470271,
101.9881739,0.053887581,0.020641784,0.00E+00,0.037264683,
102.988058,0.101661866,0.052857286,0.00E+00,0.077259576,
103.987942,0.04562331,0.012766884,0.00E+00,0.029195097,
104.9878261,0.085133322,0.06132877,0.00E+00,0.073231046,
105.9877101,-0.050944142,-0.088175021,0.00E+00,-0.069559582,
106.9875942,0.064755665,0.019687251,0.00E+00,0.042221458,
107.9874783,-0.017773845,-0.056675419,0.00E+00,-0.037224632,
108.9873623,0.007018971,-0.023624701,0.00E+00,-0.008302865,
